name	***	mention	text	class
ENGLISH: COMPOSITION AND LITERATURE***	Silas Marner	Why is not the early history of Silas Marner related first in the story?	True
WIT AND HUMOR OF THE BIBLE ***	Silas Marner	One of their representatives in modern literature is Dolly Winthrop, who tells Silas Marner about the letters "I.H.S." pricked upon the Christmas cakes: "I can't read 'em myself, and there's nobody, not Mr. Macey himself, rightly knows what they mean; but they've a good meaning, for they're the same as is on the pulpit-cloth at Church; an' if there's any good, we've need of it in this world."	True
THE ESSAYS OF "GEORGE ELIOT"***	Silas Marner	 Silas Marner lost his money through his "sense of security," which "more frequently springs from habit than conviction."	True
WOMEN NOVELISTS ***	Silas Marner	The state of isolation in which Silas Marner lived was true on all these counts--his being a "foreigner" to the autochthonous shepherds and farmers of Ravaloe--his half mazed, half broken-hearted state owing to the false accusation brought against him and the criminal neglect of Providence to show his innocence--and his strange and uncongenial trade.	True
THE VICTORIAN AGE IN LITERATURE ***	Silas Marner	Mr. Max Beerbohm has remarked (in his glorious essay called _Ichabod_, I think), that Silas Marner would not have forgotten his miserliness if George Eliot had written of him in her maturity.	True
BRIEF HISTORY OF ENGLISH AND AMERICAN LITERATURE***	Silas Marner	_Adam Bede_ is, in construction, the most perfect of her novels, and Silas Marner of her shorter stories.	True
FACES IN THE FIRE ***	Silas Marner	It may be that, here and there, you may find a Silas Marner who has been saved by sudden poverty from miserly greed and hardening self-absorption.	True
THE MOTOR GIRLS ON WATERS BLUE ***	Ramona	"The Ramona did you say?" he inquired, and there was that in his manner which sent a cold chill of fear to the hearts of the motor girls.	False
AN AFRICAN ADVENTURE ***	Ramona	The Ramona mine has steam-driven pans, while at Tshisundu, which is in charge of William McMillan, I witnessed the last word in alluvial diamond mining.	False
RAMONA ***	Ramona	Ramona was, to the world at large, a far more important person than the Senora herself.	False
AMERICAN MISSIONARY ***	Ramona	The Ramona school is under the efficient supervision of Pres.	False
CARMEN ARIZA ***	Ramona	Ramona Chaves met them in the _plaza_, her eyes streaming.	False
ENTIRE PG WARNER ***	Ramona	I do not mean to say that the people in California knew personally Ramona and Alessandro, or altogether believe in them, but that in their idealizations they recognize a verity and the ultimate truth of human nature, while in the scenery, in the fading sentiment of the old Spanish life, and the romance and faith of the Missions, the author has done for the region very much what Scott did for the Highlands.	False
OH, YOU TEX! ***	Ramona	Jack had never before seen Ramona Wadley, nor for that matter had he seen her brother Rutherford.	False
TWO YEARS BEFORE THE MAST ***	Ramona	 Doña Ramona was now the mother of a large family, and Wilson assured me that if I would visit him at his rancho, near San Luis Obispo, I should find her still a handsome woman, and very glad to see me.	False
TWO YEARS BEFORE THE MAST ***	Ramona	 Dona Ramona was now the mother of a large family, and Wilson assured me that if I would visit him at his rancho, near San Luis Obispo, I should find her still a handsome woman, and very glad to see me.	False
THE VALLEY OF THE MOON ***	Ramona	When she came back, Ramona in a pleasant lather, Saxon rode to the rear of the house, past the chicken houses and the flourishing berry-rows, to join Billy on the rim of the bench, where he sat on his horse in the shade, smoking a cigarette.	False
WEBSTER'S UNABRIDGED DICTIONARY ***	Ramona	Sir W. Raleigh Ramona had like to have said the literal truth, . . .	False
THE AMERICAN MISSIONARY - ***	Ramona	I had the pleasure, in Santa Fé, January 13th, of attending an entertainment given by the Ramona pupils in honor of Miss Platt, one of their teachers.	False
COPYRIGHT RENEWALS 1950 - 1977 ***	Ramona	Ramona clears the air.	False
THE JOY OF CAPTAIN RIBOT ***	Ramona	But there is no comparison between any of these, or the way I have had it served in any of the other ports where I have been wont to touch, and the cooking of a Señora Ramona in a certain shop for wines and edibles called El Cometa, situated on the wharf at Gijon.	False
THE FOURTH ESTATE, VOL. 2 ***	Ramona	Ramona also, as scarlet as a poppy, leaned her chin, embellished with two ravishing dimples, on his shoulder, when she was suddenly horror-struck at the sight of a livid face with two flaming eyes, and Pablito heard a discordant cry behind him: "Take that, villain!"	False
THE AMERICAN MISSIONARY - ***	Ramona	I had the pleasure, in Santa Fe, January 13th, of attending an entertainment given by the Ramona pupils in honor of Miss Platt, one of their teachers.	False
WITCH WINNIE ***	Ramona	He approached her as he spoke, with easy assurance, and taking her by the chin, made some remarks in the Pueblo language intended to be complimentary; but the girl twisted herself from his grasp with hot indignation; and Sanchez returned, grumbling that since she had been to the Ramona School at Santa Fé she was too much of a lady to speak to anyone.	False
AMERICAN MISSIONARY ***	Ramona	The Association provides also the entire teaching force at the Ramona Indian School at Santa Fé, New Mexico.	False
THE SAN FRANCISCO CALAMITY ***	Ramona	Mr. J. P. Anthony, as he fled from the Ramona Hotel, saw a score or more of people crushed to death, and as he walked the streets at a later hour saw bodies of the dead being carried in garbage wagons and all kinds of vehicles to the improvised morgues, while hospitals and storerooms were already filled with the injured.	False
CHRISTMAS EVE AND CHRISTMAS DAY ***	Swiss Family Robinson	Ethan made a great deal of fun in pretending to tell great sea-stories, like Swiss Family Robinson and Sinbad the Sailor.	True
MOLLY BROWN'S POST-GRADUATE DAYS ***	Swiss Family Robinson	He half shut his eyes and tried to picture her as a little girl in a blue sun-bonnetâof course she must have had a blue bonnetâclimbing nimbly up the old apple tree, entering as eagerly into the game of Swiss Family Robinson as she was now playing the game of life, even letting her best little slippers be gummed over to play the game true.	True
COBB'S BILL-OF-FARE ***	Swiss Family Robinson	I've always believed that, if the truth were only known, the reason why the Swiss Family Robinson did so well in that desert clime was because they opened a hotel and took in the natives to board.	True
CHILDREN AND THEIR BOOKS ***	Swiss Family Robinson	The charm of books like Robinson Crusoe and the Swiss Family Robinson consists in the fact they personify and epitomize the perpetual struggle of mankind with the forces of nature.	True
DOWN AND OUT IN THE MAGIC KINGDOM ***	Swiss Family Robinson	I emerge from the underpass and the girl moves from the Swiss Family Robinson Treehouse to the group of her friends.	True
EYEBRIGHT ***	Swiss Family Robinson	"The Swiss Family Robinson didn't," replied Eyebright.	True
THE PRINCESS PASSES***	Swiss Family Robinson	There were as many things there as the inestimable mother of the Swiss Family Robinson contrived to stow in her wonderful bag during the five minutes before the shipwreck--things which fulfilled all the wants of the young Robinsons for the period of seventeen years.	True
SUSAN LENOX: HER FALL AND RISE ***	Swiss Family Robinson	 She had a thrilling sense of being in a kind of Swiss Family Robinson storybook come to life.	True
THE ADMIRABLE CRICHTON ***	Swiss Family Robinson	I remembered from the Swiss Family Robinson that if you turn a turtle over he is helpless.	True
CLOVER***	Swiss Family Robinson	Clover said that it reminded her of the mother of the Swiss Family Robinson and that wonderful bag out of which everything was produced that could be thought of, from a grand piano to a bottle of pickles; and after that "Mrs. Robinson" became Mrs. Dayton's pet name among her fellow-travellers.	True
CHICKEN LITTLE JANE ***	Swiss Family Robinson	and----" "No, let's be Swiss Family Robinson in the tree house--we can just play pull the ladder up after us."	True
VACATION WITH THE TUCKER TWINS***	Swiss Family Robinson	"Do you know, I used to think Swiss Family Robinson was the best book that had ever been written," said I, emerging from the closet with an arm full of shoes.	True
CHILD AND COUNTRY ***	Swiss Family Robinson	In a way, our second coming to the country was like the landing of the Swiss Family Robinson upon that little world of theirs in the midst of the sea.	True
BRITE AND FAIR ***	Swiss Family Robinson	then i hapened to think that in the Swiss Family Robinson that the father was triing to ride a wild ass and it kicked and bit and rared and plungged and the only way to stop him was to bite his hear.	True
MARY-'GUSTA ***	Swiss Family Robinson	Sometimes Home was a castle, sometimes a Swiss Family Robinson cave, sometimes a store which transacted business after the fashion of Hamilton and Company.	True
A MOTHER'S LIST OF BOOKS FOR ***	Swiss Family Robinson	Marryat began a continuation of The Swiss Family Robinson for his children, at their request, but its geographical anachronisms were too much for him, and he decided to write this story instead.	True
A WOMAN'S PLACE ***	Swiss Family Robinson	It had been she who had converted it over into more of the Swiss Family Robinson pattern of making use of the resources about them.	True
RUBY AT SCHOOL ***	Swiss Family Robinson	After dinner she chose a time when Nora would not be in the kitchen, and carried some provisions down to her little house; for though she wanted to imitate the Swiss Family Robinson as far as possible, she was not sure that she would be able to find meals for herself as readily as they did; so, though biscuits and cookies were not at all the sort of food shipwrecked people generally eat, she thought that she had better lay in a supply of them, particularly as there were no kindly cocoanut or bread-fruit trees growing at hand.	True
NORINE'S REVENGE; SIR NOEL'S HEIR***	The Mysteries of Udolpho	The Mysteries of Udolpho were plain reading compared to Mr. Guy Vyking, and the effect he produces on people.	True
BRIEF HANDBOOK OF ENGLISH AUTHORS ***	The Mysteries of Udolpho	A writer of powerful sensational romances, the best known of which are The Mysteries of Udolpho and Romance of the Forest.	True
ENGLISH VERSIFICATION ***	Midsummer Night's Dream	And though his language shows great familiarity with the later plays of Shakespeare, especially The Tempest, he admitted comparatively few of their metrical licenses and followed in the main the versification of the Midsummer Night's Dream and the earlier tragedies.	True
HAZLITT ON ENGLISH LITERATURE ***	Midsummer Night's Dream	I do not think we could get from sedentary poets, who had never mingled in the vicissitudes, the dangers, or excitements of the chase, such descriptions of hunting and other athletic games, as are to be found in Shakspeare's Midsummer Night's Dream or Fletcher's Noble Kinsmen.	True
WHERE THERE'S A WILL ***	Midsummer Night's Dream	Mr. Dick pointed out the general direction of the deer park which hides the shelter-house from the sanatorium, and if you'll believe it, with snow so thick I had to scrape it off the lantern every minute or so, those children planned to give something called A Midsummer Night's Dream in the deer park among the trees in the spring, to entertain the patients.	True
COMPLETE PG GALSWORTHY ***	Midsummer Night's Dream	 He put the glasses down and went towards his greenhouse to get a drawing block, thinking to sit on the wall and make a sort of Midsummer Night's Dream sketch of flowers and rabbits.	True
STORYOLOGY***	Midsummer Night's Dream	Shakespeare not only refers frequently to 'a' man, but in the Midsummer Night's Dream Peter Quince distinctly stipulates that the man who is to play 'the moon' shall carry 'a bush of thorns.'	True
THE TWENTY-FOURTH OF JUNE***	Midsummer Night's Dream	It will be a Midsummer Night's Dream on this hill to-night," said he, with a glance at Roberta which she would not see.	True
THE FRENCH IMMORTALS ***	Midsummer Night's Dream	The wedding march from the Midsummer Night's Dream pealed forth majestically as the newly-married pair walked slowly down the aisle.	True
PUCK OF POOK'S HILL ***	Midsummer Night's Dream	 'Then what on Human Earth made you act Midsummer Night's Dream three times over, on Midsummer Eve, in the middle of a Ring, and under--right under one of my oldest hills in Old England?	True
BEECHCROFT AT ROCKSTONE ***	Midsummer Night's Dream	She is to be Helena when we act Midsummer Night's Dream on Twelfth Night for all the natives, and I am Demetrius, dirty cad that he is!	True
USES OF THE BIBLE ***	Midsummer Night's Dream	What Midsummer Night's Dream reasoning, turning common-sense topsy-turvy, and treating the words of God in the very reverse way from that in which all sane people agree to treat the words of man!	True
A SMALL BOY AND OTHERS ***	Midsummer Night's Dream	I yield to this further proof that we had our proportion of Shakespeare, though perhaps antedating that rapt vision of Much Ado, which may have been preceded by the dazzled apprehension of A Midsummer Night's Dream at the Broadway (there _was_ a confessed Theatre;) this latter now present to me in every bright particular.	True
ST. RONAN'S WELL ***	Midsummer Night's Dream	Shakspeare was therefore chosen, and from his works the Midsummer Night's Dream was selected, as the play which afforded the greatest variety of characters, and most scope of course for the intended representation.	True
MY LIFE, VOLUME I ***	Midsummer Night's Dream	My old friend Heine had arrived in the meantime from Dresden, sent by our own board of directors to study the scenic arrangements of the Midsummer Night's Dream for our theatre.	True
AUNT JO'S SCRAP-BAG, VOL. 5 ***	Midsummer Night's Dream	A regular Midsummer Night's Dream frolic, which every one enjoyed heartily, while the band played patriotic airs, the pretty villa shone like a fairy palace, and the sky was full of dazzling meteors, falling stars, and long-tailed comets, as the rockets whizzed and blazed from the hill-tops.	True
PARIS VISTAS ***	Midsummer Night's Dream	A Midsummer Night's Dream was an easier proposition for the Elizabethan actor than for Sir Herbert Beerbohm Tree, despite the properties of Her Majesty's Theatre, the hidden orchestra playing Mendelssohn's music, and the magic aerial ballets.	True
SILVER PITCHERS: AND INDEPENDENCE ***	Midsummer Night's Dream	Now the royal command was for a story, and, stifling a sigh, this rustic gentleman closed the book, whose magic had changed the spring morning to a Midsummer Night's Dream for an hour, and set himself to gratify the little damsel's whim.	False
UPPINGHAM BY THE SEA***	Midsummer Night's Dream	Sleep comes down upon tired limbs and easy consciences, and the day's glory throws the rich shadows of some Midsummer Night's Dream far into the bright dawn of another working day.	False
DARK LADY OF THE SONNETS ***	Midsummer Night's Dream	 If in The Comedy of Errors and A Midsummer Night's Dream the persons of the drama are not quite so ready for treachery and murder as Laertes and even Hamlet himself (not to mention the procession of ruffians who pass through the latest plays) it is certainly not because they have any more regard for law or religion.	True
SUNNY MEMORIES ***	Midsummer Night's Dream	The Midsummer Night's Dream he wrote from his own inner dream world.	True
LIFE OF HENRY FUSELI, VOL I ***	Midsummer Night's Dream	The fairy scenes in the Midsummer Night's Dream amuse the fancy, and show the vast inventive powers of the painter: and Falstaff with Doll is exquisitely ludicrous.	True
LETTERS OF EDWARD FITZGERALD***	Midsummer Night's Dream	That is what I always missed in Mendelssohn, except in two or three of his youthful Pieces; Fingal and Midsummer Night's Dream overtures, and Meeresstille.	True
FAIRY LEGENDS OF SOUTH OF IRELAND ***	Midsummer Night's Dream	The commentators on Shakspeare derive the beautiful and frolicksome Puck of the Midsummer Night's Dream from the mischievous Pouke.--Vide Drayton's Nymphidia.	True
THE FAIRY MYTHOLOGY ***	Midsummer Night's Dream	In the Midsummer Night's Dream the fairy says to Puck "Thou Lob of spirits;" Milton has the _lubber-fiend_, and Fletcher says,[372] "There is a pretty tale of a witch that had a giant to be her son that was called Lob Lie-by-the-fire."	True
THE NEGRO ***	Underground Railroad	Hundreds of Negroes visited the slave states to entice the slaves away, and the list of Underground Railroad operators given by Siebert contains one hundred and twenty-eight names of Negroes.	False
HISTORY OF THE UNITED STATES ***	Underground Railroad	State abolition societies were organized all over the North, the Underground Railroad was hard worked in helping fugitives to Canada, and fiery prophets harangued wherever they could get a hearing, demanding "immediate abolition" in the name of God.	False
HISTORICAL ROMANCE OF THE AMERICAN NEGRO ***	Underground Railroad	It is quite true that immediately after the passage of that infamous bill there were several fugitive slaves caught close to the border, and carried back to slavery, but the true spirit of the North arose against such Southern barbarism, and after a few slave-hunters had been shot, the South ceased to send her couriers even to the borderland, but remained at home nursing her sullen wrath, cursing the Underground Railroad and all Christian abolitionism, and flaunting her oft-repeated threat in the face of the nation, that unless she could have her own way in the Union she would have it out of it.	False
SOCIETY OF CIVIL ENGINEERS ***	Underground Railroad	Surveys, borings, and thorough investigations were made, and the Metropolitan Underground Railroad Company was incorporated in the State of New York to construct this railroad.	False
JOHN BROWN: A RETROSPECT ***	Underground Railroad	In those days, the Underground Railroad was in full operation.	False
NEGRO HISTORY ***	Underground Railroad	On April 22, 1852, he records 15 arrivals within the last few days and notes that "the Underground Railroad is doing good business this spring."	False
YOUR NEGRO NEIGHBOR ***	Underground Railroad	One after another appeared Lundy and Garrison, Parker and Birney, Whittier and Lovejoy, Phillips and Sumner, Lydia Maria Child and Harriet Beecher Stowe; the South replied to the Underground Railroad with a virtual reopening of the slave-trade; John Brown made a raid on Harper's Ferry; and then came the appeal to arms.	False
SLAVE NARRATIVES ***	Underground Railroad	The Underground Railroad did not run through this county.	False
NEGRO HISTORY ***	Underground Railroad	His chief work, however, was in connection with the anti-slavery movement, the Underground Railroad and as editor of _	False
A CENTURY OF NEGRO MIGRATION ***	Underground Railroad	It became a station of the Underground Railroad on the route to Alton and to Canada.	False
PUNCHINELLO, JULY 2, 1870 ***	Underground Railroad	The remarkable quiet of Friends' Burying-grounds is a guarantee against all possible disturbance from Earth-Quakers, now that the Underground Railroad has ceased to run.	False
OLD TRAILS ON THE NIAGARA FRONTIER ***	Underground Railroad	The most vital part of the Underground Railroad was the over-water ferry.	False
SUSAN B. ANTHONY ***	Underground Railroad	For the first time she heard of the Underground Railroad which secretly guided fugitive slaves to Canada and of the Liberty party which was making a political issue of slavery.	False
NEGRO MIGRATION DURING THE WAR ***	Underground Railroad	The principal difference between this course and the Underground Railroad was that in the later movement the southernmost States contributed the largest numbers.	False
VERMONT ***	Underground Railroad	A line of the Underground Railroad held its hidden way through Vermont, along which many a dark-skinned passenger secretly traveled, concealed during the day in the quiet stations, at night passing from one to another, helped onward by friendly hands till he reached Canada and gained the protection of that government which in later years was to become the passive champion of his rebellious master.	False
IOLA LEROY ***	Underground Railroad	I do not think the numbers who are coming North on the Underground Railroad can be very contented.	False
THE BLACK EXPERIENCE IN AMERICA ***	Underground Railroad	The Underground Railroad was another project which involved large numbers of whites.	False
HARRIET, THE MOSES OF HER PEOPLE ***	Underground Railroad	"Yes, ladies," said Harriet, "I was de conductor ob de Underground Railroad for eight years, an' I can say what mos' conductors can't say--I nebber run my train off de track an' I nebber los' a passenger."	False
THE ANTI-SLAVERY CRUSADE ***	Underground Railroad	The Underground Railroad was never coextensive with the abolition movement.	False
DARKWATER ***	Underground Railroad	Yet she was one of the most important agents of the Underground Railroad and a leader of fugitive slaves.	False
NEGRO HISTORY ***	Underground Railroad	Public sentiment, however, received a serious set-back about 1838 with the beginning of the Underground Railroad system and the incoming of the abolitionist literature.	False
THE NEW YORK SUBWAY***	Underground Railroad	(The Underground Railroad Company of the City of New York sought to enjoin the building of the road and carried their contest to the Supreme Court of the United States which did not finally decide the questions raised until March, 1904, when the subway was practically complete.)	False
PRISON ESCAPES ***	Underground Railroad	McDonald was overjoyed, and poor Johnson almost wept with delight, as Rose handed one of them his victorious old chisel, and gave the other some trifle he had picked up in the outer world as a token that the Underground Railroad to God's Country was open.	False
THE CAMP FIRE GIRLS' CAREERS ***	Little Women	Both wheeled chairs were now rolled over alongside Betty and Little Women was closed and laid on the table.	True
APPLES, RIPE AND ROSY, SIR ***	Little Women	Abby selected one which she and the Little Women made up their minds was the prettiest.	False
HARPER'S ROUND TABLE, AUGUST 20, 1895 ***	Little Women	The Little Women chapter, of Upper Nyack, N. Y. is to hold a fair in aid of the School Fund, and asks for contributions of fancy-work and money.	True
MISS MUFFET'S CHRISTMAS PARTY ***	Little Women	So letters were sent to Prudy and Dotty Dimple and the Bodley Family, and to the Little Men and Little Women and Lord Fauntleroy and the rest.	False
WOMAN'S CLUB WORK AND PROGRAMS ***	Little Women	Miss Alcott in Little Women gives the outline of one play which may be prepared easily, and there are others to be had.	True
COMPLETE PG TWAIN ***	Little Women	 Louisa May Alcott published Little Women in 1868-69, and Little Men in 1871.	True
NORTH CORNWALL FAIRIES AND LEGENDS ***	Little Women	Once more he went round the common, and when he had passed the ruins he heard giggling and laughing, this time quite close to him; and looking down on the grass, he saw to his astonishment hundreds of Little Men and Little Women with tiny lights in their hands, which they were flinking [24] about as they laughed and giggled.	False
A MOTHER'S LIST OF BOOKS FOR ***	Little Women	This sequel to Little Women tells of the home school which Jo and her husband loved and worked for, and from which they sent out into the world, as men, the boys who had sorely needed their loving care.	True
ATLANTIC MONTHLY, NOVEMBER 1857 ***	Tristram Shandy	All the nobles of Florence take part in the question; upon one side the Nerli, the Frescobaldi, the ----; but "courage, gentle reader," as Tristram Shandy observes, in his famous historical chapter upon Calais; "I scorn it; 'tis enough to have thee in my power; but to make use of the advantage which the fortune of the pen has now gained over thee would be too much."	True
BOSWELL'S CORRESPONDENCE WITH THE HONOURABLE ANDREW ERSKINE, AND HIS JOURNAL OF A TOUR TO CORSICA***	Tristram Shandy	The first two volumes of Tristram Shandy were published towards the end of 1759.--ED.]	True
BLACKWOOD'S EDINBURGH ***	Tristram Shandy	There are too many Tristram Shandy transitions, sundry cockneyisms in expression, (we use the word in a wide sense,) and one or two jokes which make the blood run cold.	True
BRIEF HANDBOOK OF ENGLISH AUTHORS ***	Tristram Shandy	Author of Tristram Shandy and The Sentimental Journey, two rambling, fantastic books, with a slender thread of story in each.	True
REMINISCENCES OF SCOTTISH LIFE AND CHARACTER***	Tristram Shandy	[191] Sterne, in one of his letters, describes his reading Tristram Shandy to his wife and daughter--his daughter copying from his dictation, and Mrs. Sterne sitting by and listening whilst she worked.	True
MARMADUKE ***	Tristram Shandy	For it's the old story, Marmie, I'm Tristram Shandy and you are the Shorter Catechism, so--so come and help me, won't you?"	True
PIPEFULS***	Tristram Shandy	Tristram Shandy said, "When a man is hemm'd in by two indecorums, and must commit one of 'em let him chuse which he will, the world will blame him."	True
THE LIFE OF FROUDE ***	Tristram Shandy	Tristram Shandy he knew almost by heart, and he never tired of Candide, or Zadig.	True
LAURENCE STERNE IN GERMANY ***	Tristram Shandy	Before the publication of Tristram Shandy it would be futile to seek for any knowledge of Sterne on German soil.	True
ST. RONAN'S WELL ***	Tristram Shandy	From what cursed old antediluvian, who lived before the invention of spinning-jennies, she learned this craft, Heaven only knows; but there she sits, with her work pinned to her knee--not the pretty taper silken fabric, with which Jeannette of Amiens coquetted, while Tristram Shandy was observing her progress; but a huge worsted bag, designed for some flat-footed old pauper, with heels like an elephant--	False
THEODORE WATTS-DUNTON***	Tristram Shandy	It needs the sweet temper of him who at the Mermaid kept the table in a roar, or of him who, in the words of the 'cadet of the house of Keppoch,' was 'sometimes called Tristram Shandy and sometimes Yorick, a very great favourite of the gentlemen.'	True
STERNE ***	Tristram Shandy	and it is difficult to say which it contains the less about--the opinions of Tristram Shandy or the events of his life.	True
ENGLISH TRAITS ***	Tristram Shandy	 Tristram Shandy was one of his first books after Robinson Crusoe, and Robertsonâs America an early favorite.	True
THE PHILOSOPHY OF STYLE ***	Tristram Shandy	Commenting on the seeming incongruity between his father's argumentative powers and his ignorance of formal logic, Tristram Shandy says:--"It was a matter of just wonder with my worthy tutor, and two or three fellows of that learned society, that a man who knew not so much as the names of his tools, should be able to work after that fashion with them."	True
THE LETTERS OF CHARLES DICKENS ***	Tristram Shandy	Here I am, running away from a bad headache as Tristram Shandy ran away from death, and lodging for a week in the Hôtel de l'Écu de Genève, wherein there is a large mirror shattered by a cannon-ball in the late revolution.	True
ATLANTIC MONTHLY, VOL. 12 ***	Tristram Shandy	It was near to Moulins, on the way hither, through the pleasant Bourbonnois, that Tristram Shandy met with the poor, half-crazed Maria, piping her evening service to the Virgin.	True
FOUR EARLY PAMPHLETS ***	Tristram Shandy	There was a time when Tristram Shandy was applauded, and Churchill thought another Dryden.	True
OUR HOUSE ***	Tristram Shandy	We began to fear that the life of the tenant was, as Tristram Shandy described the life of man, a shifting from sorrow to sorrow.	True
THE BURGLAR AND THE BLIZZARD***	Tristram Shandy	For a few minutes Geoffrey's determined attention to his book discouraged his companion, but presently rapping the pages of Tristram Shandy with the back of his hand, he exclaimed: "Sterne!	True
PROMENADES OF AN IMPRESSIONIST ***	Tristram Shandy	Possibly the learned and amiable father of Tristram Shandy or that formidable pedant Professor Slawkenbergius might find much to arouse his interest in the patronymic of the great Swedish painter and etcher.	True
WORKS OF WILLIAM HOGARTH ***	Tristram Shandy	The ingenious writer of Tristram Shandy begins the life of his hero before he is born; the picturesque biographer of Mary Hackabout has found an opportunity to convey admonition, and enforce his moral, after her death.	True
ENGLISH COSTUME***	Tristram Shandy	Not that I would laugh, even smile, at the diligence of these learned men who in their day puzzled the father of Tristram Shandy over the question of breeches, but, as it is in my mind impossible to disassociate the clothes and the woman, I find it difficult to follow their dissertations, however enlightening, upon Early English cross-stitch.	True
BLACKWOOD'S EDINBURGH ***	Tristram Shandy	But with the war between the two nations, arose a hatred between the two literatures; with Swift and Tristram Shandy in our hands, we turned up our eyes in holy indignation at Candide; we saw nothing to admire in any thing French; and as our condition in politics became more isolated, and we grew like our ancestors, _toto divisos orbe Britannos_--	True
CHARMIDES ***	Phaedo	To quote Dr. Jackson's own expressions,--'whereas in the period of the Republic and the Phaedo, it was proposed to pass through ontology to the sciences, in the period of the Parmenides and the Philebus, it is proposed to pass through the sciences to ontology': or, as he repeats in nearly the same words,--'whereas in the Republic and in the Phaedo he had dreamt of passing through ontology to the sciences, he is now content to pass through the sciences to ontology.'	True
YET AGAIN ***	Phaedo	The late Sir Redvers Buller, tauredon hupoblepsas [spelled in Greek, from Plato's Phaedo 117b], was thought to be peculiarly well fitted with his name.	True
WORLD'S BEST LITERATURE ***	Phaedo	When Phaedo had been captured in war and shamefully enslaved, Socrates bade Crito ransom him, and made him a philosopher.	False
MONOPHYSITISM PAST AND PRESENT ***	Phaedo	 It is true that the Phaedo is a work of fine art while the gospel story is a plain statement of fact.	True
WHAT DREAMS MAY COME ***	Phaedo	She has been brought up in such seclusion--and under the sole tuition of a man not only a pedant, but who has never stepped through the gates of the last generation--that she reminds one of those fair English dames who used to prowl about their parks with the Phaedo under their arm and long for a block on which to float down to prosperity; Plato had quite enough to do to sail for himself.	True
BEACON LIGHTS OF HISTORY, VOLUME I***	Phaedo	Among these were Aristippus, Antisthenes, Euclid of Megara, Phaedo of Elis, and Plato, all of whom were pupils of Socrates and founders of schools.	False
PHAEDRUS ***	Phaedo	The language of the Meno and the Phaedo as well as of the Phaedrus seems to show that at one time of his life Plato was quite serious in maintaining a former state of existence.	True
COURT OF QUEEN ELIZABETH ***	Phaedo	Lady Jane was alone at his arrival, the rest of the family being on a hunting party; and gaining admission to her apartment, he found her reading by herself the Phaedo of Plato in the original, which she understood so perfectly as to excite in him extreme wonder; for she was at this time under fifteen years of age.	True
CHRISTIANITY AND GREEK PHILOSOPHY ***	Phaedo	The Phaedo presents the doctrine and the _reasoning_ by which Socrates had elevated his mind above the fear of death.	True
THREE FRENCH MORALISTS ***	Phaedo	But I am not sure whether, in order to live happily and as a man of the highest sense of honour, it is not better to be Alcibiades and Phaedo than to be Aristides and Socrates.	False
FIVE YEARS OF THEOSOPHY***	Phaedo	 Certainly in the Phaedo the dialogue popularly supposed to contain all Plato's teaching on the subject--the immortality allotted to the impure soul is of a very questionable character, and we should rather infer from the account there given that the human personality, at all events, is lost by successive immersions into "matter."	True
PHILEBUS ***	Phaedo	But in the Phaedo the Socratic has already passed into a more ideal point of view; and he, or rather Plato speaking in his person, expressly repudiates the notion that the exchange of a less pleasure for a greater can be an exchange of virtue.	True
THE STORY OF WELLESLEY ***	Phaedo	Miss Montague used to have a little class in Plato, and I have not forgotten how quietly we read together one day at the end of the Phaedo of the death of Socrates.	True
ROMAN SOCIETY FROM NERO TO MARCUS AURELIUS***	Phaedo	The Phaedo was the last consolation of many a victim of conscription or imperial tyranny.	True
SCIENCE AND MEDIEVAL THOUGHT***	Phaedo	[6] I see in recent reports of Egyptian exploration that at Oxyrhynchus Plato was represented with curious persistence by the Phaedo and the Laches; and these treatises appear in the early Fayyum papyri.	True
THE CREST-WAVE OF EVOLUTION***	Phaedo	And Apollodorus might weep then, and burst into an angry cry; and Crito and Phaedo and the rest might all break down--_then;_	False
NATURE MYSTICISM ***	Phaedo	The subterranean waters figured also in the Greek mysteries, and are elaborated with much detail in Plato's great Phaedo Myth--in all these cases with increasing fullness of mystical meaning.	True
THE INHUMANITY OF SOCIALISM ***	Phaedo	I am so sure of this, in fact, that I am going to make that assumption, in which we all agree, the starting point of a little dialogue, in which, after the manner of Plato, I will put Socrates at one end of the discussion, and some of his friends, whom we will suppose to be Phaedo, and Crito, and Simmias, and the rest at the other, and we will let Socrates and Phaedo carry on the conversation, which might run as follows: SOCRATES--We are agreed, then, that no man has any right inherent in himself to the ownership of land.	False
ROMAN LIFE IN THE DAYS OF CICERO ***	Phaedo	He then read the Phaedo again from beginning to end, and afterwards fell into so profound a sleep that persons standing outside the chamber heard his breathing.	True
LAWS ***	Phaedo	The prospect of the existence of the soul after death is constantly present to them; though they can hardly be said to have the cheerful hope and resignation which animates Socrates in the Phaedo or Cephalus in the Republic.	True
